INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470869695242, 37347840, 1009, 81.3256938772312, 81.3256938772312);
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 217, 75, '2017-02-24 05:25:30');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 258, 3, '2017-02-24 15:41:02');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 310, 1, '2017-02-24 15:53:42');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 214, 1, '2017-02-24 22:03:05');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 70, 1, '2017-02-24 22:17:12');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 58, 1, '2017-02-24 22:17:18');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 220, 12, '2017-02-24 23:00:16');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 207, 1, '2017-02-25 05:40:04');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 269, 2, '2017-02-25 17:14:12');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 151, 1, '2017-02-25 19:07:16');
UPDATE PLAYERS SET Faith = 0, Deity = 0, Alignment = 0, God = 0, Favor = 0 WHERE WurmId = 37347840;
